1,Succession,1450,Drama,100,33
2,The Boys,1440,Drama,100,24
3,Better Call Saul,3113,Drama,100,63
4,Breaking Bad,1560,Drama,100,62
5,A despertar la felicidad!con Marie Kondo,123,Documental,80,3
6,Typewriter,248,Thriller,90,5
7,Chernobyl,330,Drama,90,5
8,Your lie in april,484,Drama,100,22
9,Warrior Nun,600,Drama,100,10
